cluster,activity_intensity_avg,activity_intensity_min,activity_intensity_max,cadence_avg,cadence_min,cadence_max,age_avg,age_min,age_max,bmi_avg,bmi_min,bmi_max
0,1.1265794092000325,0.997172583804431,1.2701157012072175,112.87,104.2,125.67,31.941176470588236,23,44,22.590676071764705,17.71227009,30.42763158
1,1.2376440357449072,1.0566877148293448,1.53776997785809,110.73642857142856,95.25,121.03,47.5,39,54,28.717961142857146,20.19198791,39.7972973
2,1.078568031381815,1.078568031381815,1.078568031381815,178.22,178.22,178.22,41.0,41,41,21.45385742,21.45385742,21.45385742
